Date,Startup_Name,Sector,City,Funding_Type,Funding_Amount,Education_Background,Age_Group,Professional_Background,Gender_Mix,Initial_Investment,Burn_Rate,Revenue_Model,Customer_Type,City_Tier,Competition_Level,No_of_CoFounders,Status,Survival_Duration_Years
26/04/2017,Myra,Consumer Internet,Bangalore,Private Equity,,IIM,30-39,Entrepreneur,Male-Dominated,4.89,High,Mixed,Mixed,Tier 1,Low,2,Failed,1
26/04/2017,Flytxt,Technology,Mumbai,Private Equity,"1,10,00,000",Dropout,40-49,Engineer,Mixed,0.73,Medium,B2C,B2C,Tier 1,High,4,Failed,12
26/04/2017,Howdy Ventures,Consumer Internet,Chennai,Seed Funding,"15,00,000",Harvard,40-49,Entrepreneur,Male-Dominated,4.2,High,Mixed,Mixed,Tier 2,High,4,Failed,3
26/04/2017,StalkBuyLove,eCommerce,New Delhi,Private Equity,"10,00,000",MBA,20-29,Engineer,Male-Dominated,3.94,High,B2B,B2B,Tier 3,High,2,Failed,7
26/04/2017,ZipGo,Consumer Internet,Bangalore,Private Equity,,IIM,20-29,Corporate,Male-Dominated,0.79,Medium,Mixed,Mixed,Tier 1,Low,1,Failed,8
27/04/2017,Scootsy,Consumer Internet,Mumbai,Private Equity,"36,00,000",Dropout,30-39,Engineer,Mixed,3.46,High,Mixed,Mixed,Tier 1,Low,4,Unicorn,11
27/04/2017,Autobix,Technology,Pune,Seed Funding,,Commerce,20-29,Consultant,Mixed,2.44,Low,Mixed,Mixed,Tier 2,High,2,Acquired,14
27/04/2017,eShiksha,Technology,Jaipur,Seed Funding,,Stanford,20-29,Engineer,Mixed,1.47,Medium,B2B,B2B,Tier 3,Low,1,Acquired,4
27/04/2017,iNurture,Consumer Internet,Bangalore,Private Equity,"15,00,000",Stanford,40-49,Engineer,Male-Dominated,2.89,Medium,Mixed,Mixed,Tier 1,Medium,4,Active,4
28/04/2017,Sepalika,Consumer Internet,New Delhi,Seed Funding,"7,50,000",MBA,20-29,Corporate,Mixed,4.38,High,B2B,B2B,Tier 3,Low,1,Active,14
28/04/2017,Mintwalk,Consumer Internet,Mumbai,Seed Funding,,IIM,40-49,Entrepreneur,Male-Dominated,1.49,Medium,B2C,B2C,Tier 1,Medium,2,Acquired,5
29/04/2017,Qriyo,Consumer Internet,Jaipur,Private Equity,,IIM,30-39,Entrepreneur,Mixed,0.09,High,B2B,B2B,Tier 3,Medium,2,Active,9
01/03/2017,Ola,Consumer Internet,Bangalore,Private Equity,"33,00,00,000",MBA,30-39,Corporate,Male-Dominated,2.89,Low,B2B,B2B,Tier 1,Medium,4,Acquired,11
01/03/2017,Belong,Consumer Internet,Bangalore,Private Equity,"1,00,00,000",IIM,20-29,Entrepreneur,Male-Dominated,3.8,Medium,B2C,B2C,Tier 1,High,5,Failed,13
01/03/2017,Seenit,Consumer Internet,Kolkata,Seed Funding,,Commerce,30-39,Consultant,Male-Dominated,4.31,High,B2C,B2C,Tier 3,Low,1,Acquired,5
01/03/2017,Paalak,ECommerce,New Delhi,Seed Funding,,IIT,20-29,Engineer,Male-Dominated,4.33,Medium,B2C,B2C,Tier 3,Medium,1,Unicorn,14
02/03/2017,Celes Care,Consumer Internet,Hyderabad,Private Equity,"15,00,000",Harvard,40-49,Consultant,Female-Dominated,0.41,Low,Mixed,Mixed,Tier 2,Medium,4,Unicorn,13
02/03/2017,Karomi,Technology,Chennai,Seed Funding,"5,00,000",Stanford,50-59,Engineer,Mixed,3.9,High,B2B,B2B,Tier 2,Medium,2,Acquired,5
02/03/2017,Red Carpet,Consumer Internet,Gurgaon,Private Equity,"25,00,000",Arts,30-39,Engineer,Male-Dominated,1.3,High,Mixed,Mixed,Tier 3,High,2,Active,1
02/03/2017,Kreate Konnect,Technology,Vadodara,Seed Funding,,IIT,20-29,Consultant,Mixed,1.24,Low,B2B,B2B,Tier 3,High,1,Active,15
02/03/2017,CreditMantri,Consumer Internet,Chennai,Private Equity,"76,00,000",MBA,30-39,Corporate,Mixed,2.81,Medium,Mixed,Mixed,Tier 2,High,3,Failed,4
03/03/2017,Lets Endorse,Consumer Internet,Bangalore,Seed Funding,,IIM,50-59,Engineer,Male-Dominated,3.34,Medium,B2C,B2C,Tier 1,High,1,Acquired,15
03/03/2017,Tydy,Technology,Bangalore,Seed Funding,"2,75,000",IIT,20-29,Engineer,Male-Dominated,3.98,Low,B2B,B2B,Tier 1,Low,2,Failed,12
03/03/2017,Nactus,Consumer Internet,Jaipur,Seed Funding,,IIT,20-29,Entrepreneur,Male-Dominated,4.15,High,B2B,B2B,Tier 3,Low,1,Active,1
03/03/2017,Oho Shop,Technology,Ahmedabad,Private Equity,"67,00,000",Commerce,30-39,Corporate,Mixed,3.84,High,B2B,B2B,Tier 3,Medium,4,Unicorn,13
03/03/2017,Emojifi,Consumer Internet,Hyderabad,Seed Funding,,MBA,20-29,Engineer,Male-Dominated,1.19,Medium,B2C,B2C,Tier 2,Medium,2,Acquired,15
03/03/2017,Paytm Marketplace,ECommerce,Bangalore,Private Equity,"20,00,00,000",Arts,20-29,Corporate,Mixed,3.14,Low,B2C,B2C,Tier 1,Low,5,Active,9
04/03/2017,iGenetics,Healthcare,Mumbai,Private Equity,"1,95,00,000",Dropout,20-29,Consultant,Mixed,4.75,Medium,B2B,B2B,Tier 1,Low,4,Unicorn,15
06/03/2017,Juno Clinic,Consumer Internet,Mumbai,Seed Funding,"12,00,000",IIM,30-39,Consultant,Male-Dominated,1.63,High,B2B,B2B,Tier 1,High,2,Active,10
06/03/2017,Summerlabel,Consumer Internet,Gurgaon,Seed Funding,"1,50,000",Dropout,50-59,Consultant,Male-Dominated,2.82,High,B2C,B2C,Tier 3,Medium,2,Acquired,15
06/03/2017,PickMe,Consumer Internet,Mumbai,Private Equity,"17,90,000",Stanford,20-29,Consultant,Male-Dominated,3.28,High,Mixed,Mixed,Tier 1,Low,2,Failed,1
07/03/2017,Agrostar,Technology,Pune,Private Equity,"1,00,00,000",Dropout,30-39,Entrepreneur,Male-Dominated,2.18,High,B2B,B2B,Tier 2,Medium,4,Failed,3
07/03/2017,Zapr,Technology,Bangalore,Private Equity,"1,00,00,000",Stanford,40-49,Engineer,Male-Dominated,3.98,High,B2B,B2B,Tier 1,High,3,Failed,8
07/03/2017,Data Resolve,Technology,Noida,Private Equity,"10,00,000",IIM,30-39,Engineer,Male-Dominated,1.39,Medium,B2B,B2B,Tier 3,Low,1,Failed,14
07/03/2017,Book Servicing,Consumer Internet,New Delhi,Seed Funding,"30,000",IIT,40-49,Engineer,Male-Dominated,3.06,Medium,B2C,B2C,Tier 3,High,2,Acquired,2
07/03/2017,Blowhorn,Consumer Internet,Bangalore,Private Equity,"36,50,000",IIM,40-49,Entrepreneur,Mixed,1.97,Medium,B2B,B2B,Tier 1,High,2,Active,6
08/03/2017,Rivigo,Logistics,Gurgaon,Private Equity,"1,50,00,000",MBA,30-39,Engineer,Male-Dominated,1.27,Low,B2B,B2B,Tier 3,Medium,3,Unicorn,11
08/03/2017,PipeCandy,Technology,Chennai,Seed Funding,"11,00,000",IIT,20-29,Engineer,Mixed,0.69,Low,B2B,B2B,Tier 2,Low,2,Unicorn,3
08/03/2017,Supr Daily,Consumer Internet,Mumbai,Seed Funding,"1,20,000",IIT,30-39,Corporate,Mixed,0.59,Low,B2B,B2B,Tier 1,High,2,Acquired,10
08/03/2017,Parentune,Consumer Internet,Gurgaon,Private Equity,,IIM,20-29,Consultant,Male-Dominated,1.04,Medium,B2B,B2B,Tier 3,High,1,Acquired,2
09/03/2017,AppBrowzer,Consumer Internet,Bangalore,Seed Funding,"5,00,000",IIT,20-29,Corporate,Female-Dominated,0.7,Medium,B2B,B2B,Tier 1,Low,1,Active,10
09/03/2017,MagicBricks,Consumer Internet,Mumbai,Private Equity,"45,00,000",Harvard,20-29,Engineer,Male-Dominated,1.76,High,B2C,B2C,Tier 1,High,3,Failed,8
10/03/2017,PeeBuddy,Healthcare,New Delhi,Seed Funding,"4,43,000",IIM,30-39,Consultant,Mixed,4.92,High,B2C,B2C,Tier 3,High,2,Failed,15
10/03/2017,iOrderFresh,ECommerce,New Delhi,Seed Funding,,IIM,40-49,Engineer,Mixed,0.95,Low,B2C,B2C,Tier 3,High,2,Acquired,10
10/03/2017,Lavelle Networks,Technology,Bangalore,Seed Funding,"6,00,000",IIT,20-29,Corporate,Male-Dominated,2.82,Low,B2B,B2B,Tier 1,Medium,1,Failed,15
10/03/2017,PropertyShare,Consumer Internet,Bangalore,Seed Funding,,Arts,20-29,Consultant,Male-Dominated,4.87,High,Mixed,Mixed,Tier 1,High,2,Unicorn,9
14/03/2017,MyDermacy,Consumer Internet,New Delhi,Private Equity,,IIT,30-39,Engineer,Male-Dominated,4.0,Low,B2B,B2B,Tier 3,Low,2,Acquired,15
15/03/2017,LatestOne,eCommerce,Hyderabad,Private Equity,"33,50,000",IIM,30-39,Consultant,Male-Dominated,2.55,Medium,B2B,B2B,Tier 2,Medium,3,Failed,8
15/03/2017,Frapperz,Consumer Internet,Kolkata,Seed Funding,"1,00,000",MBA,20-29,Engineer,Mixed,0.72,Medium,B2C,B2C,Tier 3,Low,2,Failed,7
16/03/2017,mPaani,Consumer Internet,Mumbai,Private Equity,"13,50,000",IIM,40-49,Consultant,Mixed,3.47,Medium,B2B,B2B,Tier 1,Low,4,Unicorn,14
16/03/2017,ShilpMIS,Technology,Surat,Seed Funding,,MBA,20-29,Corporate,Male-Dominated,4.25,Low,Mixed,Mixed,Tier 3,High,2,Failed,5
16/03/2017,POPxo,Consumer Internet,New Delhi,Private Equity,"31,00,000",IIT,20-29,Engineer,Male-Dominated,2.46,Medium,B2C,B2C,Tier 3,Medium,2,Unicorn,15
16/03/2017,Fitso,Consumer Internet,Gurgaon,Seed Funding,"2,00,000",IIT,30-39,Engineer,Male-Dominated,2.0,Low,B2B,B2B,Tier 3,Medium,2,Acquired,7
17/03/2017,FarMart,Technology,Gurgaon,Seed Funding,,IIM,20-29,Corporate,Male-Dominated,4.05,High,B2B,B2B,Tier 3,Medium,2,Acquired,13
21/03/2017,Flipkart,eCommerce,Bangalore,Private Equity,"1,40,00,00,000",IIM,40-49,Engineer,Male-Dominated,1.83,Low,B2C,B2C,Tier 1,Low,4,Unicorn,6
21/03/2017,Airpay,Technology,Mumbai,Private Equity,"36,70,000",IIT,30-39,Engineer,Mixed,4.22,High,Mixed,Mixed,Tier 1,Low,3,Failed,15
21/03/2017,MyGlamm,Consumer Internet,Mumbai,Private Equity,"53,00,000",IIT,40-49,Corporate,Male-Dominated,4.68,Medium,B2B,B2B,Tier 1,High,5,Active,6
22/03/2017,The Mons Co.,eCommerce,New Delhi,Seed Funding,,IIT,20-29,Corporate,Mixed,4.42,High,Mixed,Mixed,Tier 3,High,2,Unicorn,6
22/03/2017,Haqdarshak,Consumer Internet,Bangalore,Seed Funding,"1,91,000",IIM,20-29,Consultant,Male-Dominated,0.07,High,B2C,B2C,Tier 1,High,1,Acquired,2
23/03/2017,Ixigo,Consumer Internet,Gurgaon,Private Equity,"1,50,00,000",IIT,30-39,Engineer,Female-Dominated,1.58,High,B2C,B2C,Tier 3,Medium,3,Failed,1
23/03/2017,Markets and Markets,Technology,Pune,Private Equity,"5,60,00,000",MBA,40-49,Engineer,Female-Dominated,3.74,High,B2B,B2B,Tier 2,High,4,Unicorn,13
24/03/2017,Bizom,Technology,Bangalore,Seed Funding,"3,82,000",IIM,20-29,Entrepreneur,Male-Dominated,4.6,Medium,Mixed,Mixed,Tier 1,Medium,2,Failed,13
24/03/2017,BabyonBoard,Consumer Internet,Bangalore,Seed Funding,,MBA,30-39,Engineer,Mixed,0.17,High,B2B,B2B,Tier 1,Low,1,Unicorn,12
24/03/2017,Delhivery,Technology,New Delhi,Private Equity,"10,00,00,000",Stanford,30-39,Consultant,Mixed,0.9,Low,B2B,B2B,Tier 3,Low,3,Acquired,5
27/03/2017,Sport Flashes,Consumer Internet,New Delhi,Seed Funding,,MBA,20-29,Consultant,Male-Dominated,1.44,Medium,B2B,B2B,Tier 3,Low,1,Acquired,12
28/03/2017,Fynd,ECommerce,Mumbai,Private Equity,"5,00,000",IIT,30-39,Engineer,Male-Dominated,3.88,Low,Mixed,Mixed,Tier 1,Medium,1,Acquired,14
28/03/2017,Wigzo,Technology,New Delhi,Private Equity,,IIM,20-29,Engineer,Male-Dominated,0.19,Medium,B2B,B2B,Tier 3,Low,1,Active,7
28/03/2017,DoneThing,Consumer Internet,Gurgaon,Private Equity,"3,00,000",Arts,30-39,Engineer,Male-Dominated,4.69,High,Mixed,Mixed,Tier 3,Low,2,Failed,13
29/03/2017,Zapyle,ECommerce,Bangalore,Seed Funding,,Harvard,30-39,Entrepreneur,Mixed,4.81,Medium,B2B,B2B,Tier 1,Low,1,Failed,9
29/03/2017,Ithaka,Consumer Internet,Mumbai,Seed Funding,"3,25,000",IIT,50-59,Consultant,Male-Dominated,0.85,High,B2C,B2C,Tier 1,Low,1,Acquired,11
29/03/2017,perpule,eCommerce,Bangalore,Seed Funding,"6,50,000",Dropout,50-59,Corporate,Male-Dominated,0.38,Low,B2C,B2C,Tier 1,High,2,Acquired,14
29/03/2017,Byju\\xe2\\x80\\x99s,Consumer Internet,Bangalore,Private Equity,,MBA,40-49,Engineer,Male-Dominated,2.61,Medium,Mixed,Mixed,Tier 1,Low,2,Active,1
29/03/2017,Licious,ECommerce,Bangalore,Private Equity,"1,00,00,000",Dropout,40-49,Consultant,Mixed,3.03,High,B2C,B2C,Tier 1,Low,5,Acquired,7
29/03/2017,Medinfi,Consumer Internet,Bangalore,Seed Funding,"50,000",Dropout,40-49,Corporate,Male-Dominated,3.84,High,Mixed,Mixed,Tier 1,Low,2,Active,3
30/03/2017,Indus OS,Technology,Mumbai,Private Equity,,IIT,20-29,Consultant,Mixed,2.13,Medium,B2C,B2C,Tier 1,Low,2,Failed,4
30/03/2017,Emflux Motors,Technology,Bangalore,Seed Funding,,Harvard,40-49,Engineer,Mixed,1.4,Medium,B2C,B2C,Tier 1,High,2,Failed,14
30/03/2017,Klinic App,Consumer Internet,Gurgaon,Seed Funding,,MBA,20-29,Engineer,Male-Dominated,4.13,Medium,B2B,B2B,Tier 3,High,2,Active,5
31/03/2017,Jhakaas,Consumer Internet,Mumbai,Seed Funding,"1,55,000",Commerce,20-29,Engineer,Mixed,1.03,Low,Mixed,Mixed,Tier 1,Low,2,Unicorn,1
31/03/2017,Oriano Solar,Technology,Mumbai,Private Equity,"30,00,000",Commerce,40-49,Entrepreneur,Male-Dominated,1.48,Medium,B2B,B2B,Tier 1,Low,3,Active,11
31/03/2017,BigBasket,ECommerce,Bangalore,Private Equity,"70,00,000",MBA,40-49,Consultant,Male-Dominated,4.79,Low,B2B,B2B,Tier 1,Medium,4,Failed,6
31/03/2017,Rooter,Consumer Internet,New Delhi,Private Equity,,IIT,20-29,Engineer,Male-Dominated,1.5,High,B2B,B2B,Tier 3,Medium,2,Unicorn,7
31/03/2017,FalconBrick,Technology,Bangalore,Seed Funding,,IIT,40-49,Engineer,Male-Dominated,4.93,Medium,B2B,B2B,Tier 1,Low,2,Failed,8
31/03/2017,Icertis,Technology,Pune,Private Equity,"2,50,00,000",Stanford,40-49,Corporate,Male-Dominated,2.63,Low,B2C,B2C,Tier 2,Medium,5,Failed,13
02/02/2017,Clodura,Technology,Pune,Seed Funding,,Harvard,30-39,Entrepreneur,Male-Dominated,3.99,Medium,B2C,B2C,Tier 2,Medium,2,Acquired,5
03/02/2017,Stockroom.io,Consumer Internet,Hyderabad,Seed Funding,,IIM,30-39,Corporate,Male-Dominated,4.71,High,B2B,B2B,Tier 2,Low,1,Unicorn,15
06/02/2017,Capital Float,Consumer Internet,Bangalore,Private Equity,"25,00,000",Stanford,20-29,Consultant,Mixed,3.79,High,B2C,B2C,Tier 1,Medium,3,Active,3
06/02/2017,iManageMyHotel,Technology,Kolkata,Seed Funding,,IIT,30-39,Consultant,Mixed,4.08,High,B2B,B2B,Tier 3,Medium,1,Active,5
07/02/2017,Inner Hour,Consumer Internet,Mumbai,Seed Funding,"4,50,000",Commerce,20-29,Consultant,Mixed,2.28,Medium,B2C,B2C,Tier 1,High,1,Unicorn,5
07/02/2017,Travel Triangle,Consumer Internet,Noida,Private Equity,"1,00,00,000",Arts,40-49,Engineer,Male-Dominated,4.68,Medium,B2B,B2B,Tier 3,Low,4,Unicorn,9
08/02/2017,Wandertrails,Consumer Internet,Bangalore,Seed Funding,"10,00,000",MBA,40-49,Consultant,Male-Dominated,0.52,Medium,B2B,B2B,Tier 1,Low,2,Active,9
08/02/2017,Zenatix,Technology,Gurgaon,Private Equity,"12,00,000",MBA,20-29,Corporate,Male-Dominated,3.14,High,B2B,B2B,Tier 3,High,4,Active,12
08/02/2017,Cartrade,Consumer Internet,Mumbai,Private Equity,"5,50,00,000",MBA,30-39,Corporate,Male-Dominated,4.7,High,B2B,B2B,Tier 1,Low,4,Failed,12
08/02/2017,MindYourFleet,Technology,Noida,Seed Funding,,Dropout,20-29,Engineer,Male-Dominated,3.98,Low,Mixed,Mixed,Tier 3,Low,1,Acquired,7
08/02/2017,Edurev,Consumer Internet,Gurgaon,Seed Funding,"40,000",Harvard,20-29,Entrepreneur,Mixed,3.17,High,B2B,B2B,Tier 3,Medium,1,Acquired,15
09/02/2017,Voonik,ECommerce,Bangalore,Private Equity,"60,00,000",IIM,30-39,Engineer,Male-Dominated,2.59,Low,B2B,B2B,Tier 1,Medium,3,Failed,13
09/02/2017,1Crowd,Finance,Mumbai,Seed Funding,,MBA,20-29,Corporate,Male-Dominated,0.66,Medium,Mixed,Mixed,Tier 1,Low,2,Failed,3
09/02/2017,Wooplr,ECommerce,Bangalore,Private Equity,"80,00,000",IIM,30-39,Teacher,Male-Dominated,0.43,Low,Mixed,Mixed,Tier 1,Low,4,Acquired,8
10/02/2017,48East,ECommerce,Bangalore,Private Equity,"5,00,000",MBA,20-29,Teacher,Male-Dominated,0.22,Low,B2B,B2B,Tier 1,High,1,Unicorn,3
10/02/2017,Redesyn,Consumer Internet,Mumbai,Seed Funding,,MBA,40-49,Engineer,Mixed,4.33,High,B2C,B2C,Tier 1,Low,1,Unicorn,7
13/02/2017,Sigtuple,Technology,Bangalore,Private Equity,"58,00,000",IIT,20-29,Engineer,Male-Dominated,0.12,Low,B2B,B2B,Tier 1,High,5,Active,9
13/02/2017,Flutura,Technology,Bangalore,Private Equity,"75,00,000",Dropout,20-29,Entrepreneur,Mixed,2.9,High,Mixed,Mixed,Tier 1,Low,5,Active,13
13/02/2017,Wassup,Consumer Internet,Chennai,Private Equity,"32,00,000",IIT,40-49,Engineer,Female-Dominated,0.32,Low,B2C,B2C,Tier 2,Low,4,Failed,11
13/02/2017,Better Mortgage,Consumer Internet,Gurgaon,Private Equity,"1,50,00,000",IIM,30-39,Entrepreneur,Female-Dominated,2.72,Medium,B2C,B2C,Tier 3,Medium,3,Active,3
13/02/2017,Nurturey,Consumer Internet,New Delhi,Seed Funding,"3,30,000",Commerce,40-49,Corporate,Male-Dominated,0.61,Low,B2B,B2B,Tier 3,Low,2,Failed,3
13/02/2017,Fyle,Technology,Bangalore,Seed Funding,"4,00,000",IIM,30-39,Entrepreneur,Male-Dominated,3.08,High,B2B,B2B,Tier 1,Low,1,Acquired,10
14/02/2017,GoBumpr,Consumer Internet,Chennai,Seed Funding,"3,00,000",IIM,20-29,Corporate,Female-Dominated,4.53,High,Mixed,Mixed,Tier 2,Medium,1,Failed,2
14/02/2017,CCAvenue,Consumer Internet,Mumbai,Private Equity,"2,24,00,000",Dropout,30-39,Engineer,Male-Dominated,2.92,High,B2C,B2C,Tier 1,Low,4,Failed,13
14/02/2017,Connaizen,Technology,New Delhi,Seed Funding,,IIM,20-29,Engineer,Male-Dominated,2.86,Medium,B2B,B2B,Tier 3,Low,1,Acquired,10
15/02/2017,Innov8,Consumer Internet,New Delhi,Seed Funding,,IIT,30-39,Engineer,Male-Dominated,4.74,High,Mixed,Mixed,Tier 3,Medium,1,Acquired,11
15/02/2017,ZestMoney,Consumer Internet,Bangalore,Private Equity,"65,00,000",MBA,20-29,Corporate,Mixed,3.83,Low,Mixed,Mixed,Tier 1,Low,3,Unicorn,10
15/02/2017,AirZaar,Technology,Missourie,Seed Funding,"3,50,000",IIT,40-49,Engineer,Mixed,4.5,Low,B2B,B2B,Tier 3,Medium,1,Unicorn,10
16/02/2017,Truebil,Consumer Internet,Mumbai,Private Equity,"30,00,000",IIT,20-29,Entrepreneur,Female-Dominated,3.89,Medium,B2C,B2C,Tier 1,Medium,4,Active,15
16/02/2017,YourStory,Consumer Internet,Bangalore,Private Equity,"30,00,000",MBA,20-29,Teacher,Male-Dominated,1.69,Low,Mixed,Mixed,Tier 1,Medium,3,Active,6
17/02/2017,Imaginate,Technology,Hyderabad,Seed Funding,"5,00,000",IIT,30-39,Entrepreneur,Mixed,1.98,Medium,B2C,B2C,Tier 2,High,1,Failed,12
17/02/2017,The Ken,Consumer Internet,Bangalore,Seed Funding,"4,00,000",Dropout,20-29,Engineer,Mixed,2.28,Medium,B2C,B2C,Tier 1,Medium,1,Acquired,1
17/02/2017,Urban Ladder,ECommerce,Bangalore,Private Equity,"1,52,00,000",Arts,20-29,Corporate,Male-Dominated,1.72,High,Mixed,Mixed,Tier 1,Medium,5,Acquired,14
17/02/2017,Aisle,Consumer Internet,Bangalore,Seed Funding,,Dropout,20-29,Corporate,Female-Dominated,2.67,Low,B2B,B2B,Tier 1,High,2,Acquired,15
17/02/2017,TownScript,Consumer Internet,Pune,Private Equity,,IIT,20-29,Corporate,Male-Dominated,2.91,Medium,Mixed,Mixed,Tier 2,High,1,Acquired,11
17/02/2017,Leopetra,eCommerce,Mumbai,Seed Funding,"40,000",IIT,30-39,Corporate,Male-Dominated,4.54,High,Mixed,Mixed,Tier 1,High,1,Failed,15
18/02/2017,Blood n Care,Consumer Internet,Gurgaon,Seed Funding,"40,000",MBA,40-49,Corporate,Male-Dominated,4.14,Low,Mixed,Mixed,Tier 3,High,1,Failed,15
20/02/2017,Flipkart,eCommerce,Bangalore,Private Equity,"3,87,00,000",Stanford,20-29,Engineer,Male-Dominated,0.62,Medium,B2C,B2C,Tier 1,Low,3,Unicorn,9
21/02/2017,True Balance,Consumer Internet,Gurgaon,Private Equity,"1,50,00,000",MBA,20-29,Corporate,Female-Dominated,2.07,Medium,B2C,B2C,Tier 3,High,5,Active,2
22/02/2017,Vebbler,Consumer Internet,Bangalore,Seed Funding,"40,000",IIM,30-39,Engineer,Male-Dominated,2.55,Medium,B2B,B2B,Tier 1,Low,2,Unicorn,1
23/02/2017,Get My Parking,Consumer Internet,New Delhi,Private Equity,"11,00,000",IIM,40-49,Corporate,Female-Dominated,1.24,Medium,B2B,B2B,Tier 3,Medium,2,Failed,13
23/02/2017,Lets Reap,Consumer Internet,Mumbai,Seed Funding,,IIT,30-39,Engineer,Male-Dominated,1.19,Medium,B2C,B2C,Tier 1,Medium,1,Acquired,11
24/02/2017,Oglas,Consumer Internet,Noida,Seed Funding,,Arts,40-49,Consultant,Male-Dominated,3.98,Medium,Mixed,Mixed,Tier 3,Medium,1,Active,3
27/02/2017,Staydobe,Consumer Internet,Bangalore,Seed Funding,,Dropout,20-29,Corporate,Male-Dominated,4.41,Medium,B2B,B2B,Tier 1,High,2,Active,13
27/02/2017,Biryani By Kilo,Consumer Internet,Gurgaon,Seed Funding,"3,75,000",IIT,40-49,Engineer,Male-Dominated,0.87,Low,B2B,B2B,Tier 3,High,1,Acquired,5
27/02/2017,Johari Shop,ECommerce,Bangalore,Seed Funding,"94,000",Arts,30-39,Entrepreneur,Male-Dominated,3.94,High,Mixed,Mixed,Tier 1,High,1,Active,13
28/02/2017,NeoStencil,Consumer Internet,New Delhi,Private Equity,"10,00,000",Stanford,30-39,Corporate,Male-Dominated,0.93,Low,Mixed,Mixed,Tier 3,Medium,2,Active,2
28/02/2017,Blackbuck,Logistics,Bangalore,Private Equity,"7,00,00,000",IIT,20-29,Engineer,Male-Dominated,3.73,Low,Mixed,Mixed,Tier 1,Low,4,Active,11
02/01/2017,TaxSutra,Consumer Internet,Pune,Seed Funding,"3,66,000",MBA,30-39,Engineer,Male-Dominated,0.92,Low,Mixed,Mixed,Tier 2,Low,1,Acquired,4
03/01/2017,TempoGo,Technology,Panaji,Seed Funding,"8,25,000",IIM,20-29,Engineer,Male-Dominated,3.76,High,B2B,B2B,Tier 3,Medium,2,Unicorn,7
03/01/2017,GoFynd,ecommerce,Mumbai,Seed Funding,,IIT,50-59,Engineer,Mixed,0.32,Medium,B2B,B2B,Tier 1,Low,2,Failed,12
03/01/2017,Vow Car Clinic,Consumer Internet,Gurgaon,Seed Funding,,IIM,20-29,Corporate,Mixed,2.67,Low,Mixed,Mixed,Tier 3,Low,2,Acquired,6
04/01/2017,LearnTron,Technology,Chennai,Seed Funding,,IIT,20-29,Engineer,Male-Dominated,2.91,Low,Mixed,Mixed,Tier 2,Medium,2,Acquired,2
05/01/2017,MobiDent,Consumer Internet,Bangalore,Private Equity,,Dropout,20-29,Engineer,Male-Dominated,3.92,Low,B2C,B2C,Tier 1,High,2,Acquired,14
05/01/2017,Yostra,Technology,Bangalore,Private Equity,,MBA,20-29,Engineer,Male-Dominated,2.76,Medium,B2B,B2B,Tier 1,High,2,Acquired,3
06/01/2017,Leap India,Logistics,Mumbai,Private Equity,"1,30,00,000",Dropout,30-39,Consultant,Male-Dominated,4.52,Medium,Mixed,Mixed,Tier 1,High,3,Unicorn,13
07/01/2017,FreeCharge,Consumer Internet,Mumbai,Private Equity,"5,70,00,000",Commerce,40-49,Engineer,Male-Dominated,1.19,Medium,B2C,B2C,Tier 1,Low,5,Failed,3
09/01/2017,TicketNew,Consumer Internet,Chennai,Private Equity,"3,50,00,000",MBA,20-29,Engineer,Male-Dominated,1.56,Medium,B2B,B2B,Tier 2,High,5,Failed,14
10/01/2017,Intelligence Node,Technology,Mumbai,Private Equity,"8,00,000",IIM,30-39,Entrepreneur,Male-Dominated,0.2,Medium,B2B,B2B,Tier 1,High,1,Active,15
10/01/2017,Securens,Technology,Mumbai,Private Equity,"50,00,000",IIM,20-29,Entrepreneur,Mixed,1.1,High,B2C,B2C,Tier 1,Low,3,Acquired,15
10/01/2017,Loan Frame,Consumer Internet,Gurgaon,Private Equity,"22,50,000",IIT,20-29,Engineer,Female-Dominated,4.47,High,B2C,B2C,Tier 3,Medium,4,Failed,13
10/01/2017,DriveSkool,Consumer Internet,Bangalore,Seed Funding,,MBA,20-29,Corporate,Mixed,2.49,Medium,B2C,B2C,Tier 1,Medium,1,Active,14
10/01/2017,Medinfi,Consumer Internet,Bangalore,Seed Funding,"1,00,000",IIT,20-29,Corporate,Mixed,3.03,High,B2B,B2B,Tier 1,Medium,1,Active,13
10/01/2017,LensKart,eCommerce,Bangalore,Private Equity,"35,00,000",Harvard,20-29,Engineer,Female-Dominated,4.2,Medium,B2B,B2B,Tier 1,Low,4,Active,7
11/01/2017,InstaOffice,Consumer Internet,Gurgaon,Seed Funding,,IIT,30-39,Engineer,Female-Dominated,2.77,Low,B2C,B2C,Tier 3,Medium,1,Unicorn,15
12/01/2017,Hansel.io,Consumer Internet,Bangalore,Private Equity,"13,50,000",Arts,30-39,Corporate,Mixed,0.09,Medium,B2B,B2B,Tier 1,Medium,3,Acquired,13
12/01/2017,Square Yards,Consumer Internet,Gurgaon,Private Equity,"1,00,00,000",MBA,30-39,Engineer,Mixed,3.78,Medium,B2C,B2C,Tier 3,Low,3,Failed,2
13/01/2017,Roambee,Technology,Mumbai,Private Equity,"41,00,000",IIT,20-29,Entrepreneur,Female-Dominated,3.3,High,B2B,B2B,Tier 1,Low,4,Active,6
